LETTER ANALYSES

 Letter     Freq    Freq%  AvgFreq%  diff
	A 		  25  	 3.1 	 8.2 	-5.1 
	B 		  21  	 2.6 	 1.5 	 1.1 
	C 		  17  	 2.1 	 2.8 	-0.7 
	D 		  18  	 2.2 	 4.3 	-2.1 
	E 		  30  	 3.7 	12.7 	-9.0 
	F 		  17  	 2.1 	 2.2 	-0.1 
	G 		  12  	 1.5 	 2.0 	-0.5 
	H 		  21  	 2.6 	 6.1 	-3.5 
	I 		  34  	 4.2 	 7.0 	-2.8 
	J 		   7  	 0.9 	 0.2 	 0.7 
	K 		   5  	 0.6 	 0.8 	-0.2 
	L 		  13  	 1.6 	 4.0 	-2.4 
	M 		  13  	 1.6 	 2.4 	-0.8 
	N 		  28  	 3.5 	 6.7 	-3.2 
	O 		  49  	 6.1 	 7.5 	-1.4 
	P 		   0  	 0.0 	 1.9 	-1.9 
	Q 		  10  	 1.2 	 0.1 	 1.1 
	R 		  14  	 1.7 	 6.0 	-4.3 
	S 		  17  	 2.1 	 6.3 	-4.2 
	T 		  34  	 4.2 	 9.1 	-4.9 
	U 		  25  	 3.1 	 2.8 	 0.3 
	V 		  22  	 2.7 	 1.0 	 1.7 
	W 		  14  	 1.7 	 2.4 	-0.7 
	X 		  47  	 5.8 	 0.2 	 5.6 
	Y 		  22  	 2.7 	 2.0 	 0.7 
	Z 		  10  	 1.2 	 0.1 	 1.1 

The most frequent letter is O at  6.1%.
LETTER ANALYSES

 Letter     Freq    Freq%  AvgFreq%  diff
	A 		  42  	 2.6 	 8.2 	-5.6 
	B 		  33  	 2.1 	 1.5 	 0.6 
	C 		  38  	 2.4 	 2.8 	-0.4 
	D 		  52  	 3.2 	 4.3 	-1.1 
	E 		  48  	 3.0 	12.7 	-9.7 
	F 		  24  	 1.5 	 2.2 	-0.7 
	G 		  29  	 1.8 	 2.0 	-0.2 
	H 		  26  	 1.6 	 6.1 	-4.5 
	I 		  55  	 3.4 	 7.0 	-3.6 
	J 		  20  	 1.2 	 0.2 	 1.0 
	K 		  18  	 1.1 	 0.8 	 0.3 
	L 		  41  	 2.5 	 4.0 	-1.5 
	M 		  62  	 3.9 	 2.4 	 1.5 
	N 		  28  	 1.7 	 6.7 	-5.0 
	O 		  59  	 3.7 	 7.5 	-3.8 
	P 		  14  	 0.9 	 1.9 	-1.0 
	Q 		  27  	 1.7 	 0.1 	 1.6 
	R 		  44  	 2.7 	 6.0 	-3.3 
	S 		  51  	 3.2 	 6.3 	-3.1 
	T 		  59  	 3.7 	 9.1 	-5.4 
	U 		  50  	 3.1 	 2.8 	 0.3 
	V 		  44  	 2.7 	 1.0 	 1.7 
	W 		  28  	 1.7 	 2.4 	-0.7 
	X 		  94  	 5.8 	 0.2 	 5.6 
	Y 		  44  	 2.7 	 2.0 	 0.7 
	Z 		  20  	 1.2 	 0.1 	 1.1 

The most frequent letter is X at  5.8%.
LETTER ANALYSES

 Letter     Freq    Freq%  AvgFreq%  diff
	A 		  67  	 2.8 	 8.2 	-5.4 
	B 		  54  	 2.2 	 1.5 	 0.7 
	C 		  55  	 2.3 	 2.8 	-0.5 
	D 		  70  	 2.9 	 4.3 	-1.4 
	E 		  78  	 3.2 	12.7 	-9.5 
	F 		  41  	 1.7 	 2.2 	-0.5 
	G 		  41  	 1.7 	 2.0 	-0.3 
	H 		  47  	 1.9 	 6.1 	-4.2 
	I 		  89  	 3.7 	 7.0 	-3.3 
	J 		  27  	 1.1 	 0.2 	 0.9 
	K 		  23  	 1.0 	 0.8 	 0.2 
	L 		  54  	 2.2 	 4.0 	-1.8 
	M 		  75  	 3.1 	 2.4 	 0.7 
	N 		  56  	 2.3 	 6.7 	-4.4 
	O 		 108  	 4.5 	 7.5 	-3.0 
	P 		  14  	 0.6 	 1.9 	-1.3 
	Q 		  37  	 1.5 	 0.1 	 1.4 
	R 		  58  	 2.4 	 6.0 	-3.6 
	S 		  68  	 2.8 	 6.3 	-3.5 
	T 		  93  	 3.9 	 9.1 	-5.2 
	U 		  75  	 3.1 	 2.8 	 0.3 
	V 		  66  	 2.7 	 1.0 	 1.7 
	W 		  42  	 1.7 	 2.4 	-0.7 
	X 		 141  	 5.8 	 0.2 	 5.6 
	Y 		  66  	 2.7 	 2.0 	 0.7 
	Z 		  30  	 1.2 	 0.1 	 1.1 

The most frequent letter is X at  5.8%.
